method,stress_regime,n_days,mean_day_profit,std_day_profit,median_day_profit,p5_day_profit,total_profit
GPT-4,High Vol,29,1760.8410344827587,724.1165399118374,1987.48,471.694,51064.39
GPT-4,Normal,316,1646.3524367088608,561.0427710199342,1663.935,620.44,520247.37
GPT-4,Spike,11,2174.041818181818,330.2862684950188,2154.97,1659.8049999999998,23914.46
GPT-4,Spike + High Vol,8,1591.51125,592.655665300265,1602.6799999999998,890.4945,12732.09
HeurQuantile,High Vol,29,1163.3833035548757,505.2694601247345,1138.6159449999996,334.1714639999997,33738.115803091394
HeurQuantile,Normal,316,1241.9194059176418,509.6897119638539,1284.8103794999993,369.89341749999943,392446.5322699748
HeurQuantile,Spike,11,1746.3364150543932,557.5165533075353,1999.0629749999994,673.0715099999993,19209.700565598327
HeurQuantile,Spike + High Vol,8,2202.4713794563704,409.45898015116893,2388.5178493254834,1580.7862775249992,17619.771035650963
HeurTime,High Vol,29,1505.3356839655162,389.0594421311563,1523.3082584999988,773.9173916999987,43654.73483499997
HeurTime,Normal,316,1190.6790262737331,316.8401633749876,1159.519118249999,684.3647666249988,376254.57230249967
HeurTime,Spike,11,1476.5689339090895,224.3910559844866,1492.7115889999989,1223.6412489999984,16242.258272999985
HeurTime,Spike + High Vol,8,1637.9463044374986,366.08028779909455,1724.6647707499985,1190.6453722249985,13103.570435499989
MILP,High Vol,29,2153.6076415658613,348.33172429977685,2132.0528365,1565.2497958000001,62454.62160540997
MILP,Normal,316,1686.5405437062661,326.64809241092905,1652.1073651087254,1198.283672990651,532946.8118111801
MILP,Spike,11,1951.1800528937295,324.35638158483044,1880.4582224999997,1547.536805243767,21462.980581831023
MILP,Spike + High Vol,8,2395.3131157016965,251.02632197559836,2334.924780264543,2142.3510521004155,19162.50492561357
MILP(BC),High Vol,29,2045.5521970480947,402.07875516949224,2045.4248849375008,1430.8276487986845,59321.01371439475
MILP(BC),Normal,316,1717.1666831976706,338.4570548596976,1675.9838182483556,1205.823938769737,542624.6718904639
MILP(BC),Spike,11,1917.3902502787087,323.31950841833645,1880.3952181250004,1505.2086530016452,21091.292753065794
MILP(BC),Spike + High Vol,8,2186.5603634601157,163.4514695065108,2189.243867388159,1966.4425833421058,17492.482907680926
"MILP(CVaR$_{\beta=0.95,\lambda=0.5}$)",High Vol,29,2036.909632305014,395.49128023096273,2072.476829625001,1455.640373939474,59070.379336845406
"MILP(CVaR$_{\beta=0.95,\lambda=0.5}$)",Normal,316,1705.1544002105477,342.87505504848576,1677.579450157895,1176.131539789474,538828.790466533
"MILP(CVaR$_{\beta=0.95,\lambda=0.5}$)",Spike,11,1884.7169938388674,331.5782531873086,1831.8525823355262,1401.1769081266448,20731.886932227542
"MILP(CVaR$_{\beta=0.95,\lambda=0.5}$)",Spike + High Vol,8,2216.5245166922273,152.92997865209927,2212.6019747368423,2045.3212997225332,17732.19613353782
MILP(Stoch),High Vol,29,2051.6310447763162,394.12157313438047,2045.4248849375008,1443.8569709039477,59497.30029851317
MILP(Stoch),Normal,316,1716.621534474403,339.08514924823965,1676.3488700904609,1184.483470144737,542452.4048939113
MILP(Stoch),Spike,11,1930.7604925783498,320.785673929058,1880.3952181250004,1505.2086530016454,21238.36541836185
MILP(Stoch),Spike + High Vol,8,2197.254209226152,145.93786670658932,2189.7605910723687,2021.6705483421056,17578.033673809216
RL-PPO,High Vol,29,1841.2799873230056,385.3898852958936,1782.8515039066385,1193.806817896103,53397.11963236716
RL-PPO,Normal,316,1504.2610274231329,359.80678853732644,1465.6506903673899,983.6100621829708,475346.48466571
RL-PPO,Spike,11,1787.0619401274553,520.6327019101217,1964.1524968905062,798.405710489254,19657.681341402007
RL-PPO,Spike + High Vol,8,2350.885339712228,270.8561520218638,2396.483126474987,1974.932671667826,18807.082717697824
